ID,sentence,TP,FP,FN,Precision,Recall,Fscore
40,Give all swimmers that were born in Moscow.,55,0,0,1,1,1
41,Give me all cosmonauts.,0,0,118,0,0,0
42,Give me all Swiss non-profit organizations.,1,0,0,1,1,1
43,Which presidents were born in 1945?,0,0,0,0,0,0
44,What kind of music did Lou Reed play?,5,0,0,1,1,1
45,Where do the Red Sox play?,1,0,0,1,1,1
46,Show a list of soccer clubs that play in the Bundesliga.,52,15,0,0.7761194,1,0.8739495
47,Which volcanos in Japan erupted since 2000?,0,0,0,0,0,0
48,Which bridges cross the Seine?,33,0,0,1,1,1
49,What is the official color of the University of Oxford?,1,0,0,1,1,1
50,How many films did Hal Roach produce?,1,0,0,1,1,1
51,Give me all Danish movies.,122,0,0,1,1,1
52,What is the most frequent cause of death?,0,0,0,0,0,0
53,Who are the four youngest MVP basketball players?,0,0,0,0,0,0
54,Give me all companies in Munich.,5,0,135,1,0.035714287,0.068965524
55,Give me the capitals of all countries that the Himalayas run through.,0,0,1,0,0,0
56,How many movies did Park Chan-wook direct?,0,0,0,0,0,0
57,Which rivers flow into a German lake?,105,0,0,1,1,1
58,How many airlines are there?,0,0,1,0,0,0
59,Give me all islands that belong to Japan.,88,0,0,1,1,1
60,How many inhabitants does Maribor have?,1,0,0,1,1,1
61,Give me all Apollo 14 astronauts.,3,0,0,1,1,1
62,Which companies have more than 1 million employees?,0,0,16,0,0,0
63,In which films directed by Garry Marshall was Julia Roberts starring?,0,0,3,0,0,0
64,Give me all soccer clubs in the Premier League.,264,47,0,0.84887457,1,0.9182609
65,What is the highest place of the Urals?,0,0,1,0,0,0
66,Who is the governor of Wyoming?,1,0,0,1,1,1
67,Where did the architect of the Eiffel Tower study?,0,1,0,0,0,0
68,Give me all world heritage sites designated within the past two years.,0,0,33,0,0,0
69,Give me all actors who were born in Paris after 1950.,0,0,0,0,0,0
70,Which movies star both Liz Taylor and Richard Burton?,0,0,11,0,0,0
71,Give me all Australian nonprofit organizations.,1,0,0,1,1,1
72,Which pope succeeded John Paul II?,1,0,0,1,1,1
73,Give me all ESA astronauts.,0,0,1,0,0,0
74,Who was president of Pakistan in 1978?,0,1,1,0,0,0
75,Who is the owner of Rolls-Royce?,2,0,0,1,1,1
76,How many museums does Paris have?,21,0,0,1,1,1
77,Where was JFK assassinated?,1,0,0,1,1,1
78,Give me all federal chancellors of Germany.,0,0,13,0,0,0
79,Show me everyone who was born on Halloween.,0,0,1,0,0,0
80,Which beer originated in Ireland?,1,0,0,1,1,1
81,To which countries does the Himalayan mountain system extend?,1,0,0,1,1,1
82,Which actors were born in Germany?,0,0,26,0,0,0
83,How much carbs does peanut butter have?,1,0,0,1,1,1
84,Who produced the most films?,0,0,0,0,0,0
85,How many employees does Google have?,1,0,0,1,1,1
86,Give me all actors who were born in Berlin.,1,0,0,1,1,1
87,Who created Goofy?,3,0,0,1,1,1
88,Which music albums contain the song Last Christmas?,0,0,0,0,0,0
89,When was Alberta admitted as province?,1,0,0,1,1,1
90,How many missions does the Soyuz programme have?,1,0,0,1,1,1
91,Give me all the TV shows with Neil Patrick Harris.,12,20,0,0.375,1,0.54545456
92,When were the Hells Angels founded?,1,0,0,1,1,1
93,What is the net income of Apple?,0,1,0,0,0,0
94,Give me all Swedish holidays.,4,0,0,1,1,1
95,In which city was the former Dutch queen Juliana buried?,0,0,1,0,0,0
96,List all the musicals with music by Leonard Bernstein.,8,0,0,1,1,1
97,Give me all companies in the advertising industry.,1,0,0,1,1,1
98,What is the largest metropolitan area in Washington state?,1,0,0,1,1,1
99,Who killed John Lennon?,0,0,1,0,0,0
100,Which writers studied in Istanbul?,0,0,12,0,0,0
101,Give me all Australian metalcore bands.,21,0,0,1,1,1
102,Which countries adopted the Euro?,0,0,47,0,0,0
103,Give me all types of eating disorders.,0,0,0,0,0,0
104,Was Marc Chagall a jew?,0,0,0,0,0,0
105,What was Brazil's lowest rank in the FIFA World Ranking?,0,0,1,0,0,0
106,How many films did Leonardo DiCaprio star in?,1,0,0,1,1,1
107,Was Margaret Thatcher a chemist?,0,0,0,0,0,0
108,Which U.S. states are in the same time zone as Utah?,0,0,0,0,0,0
109,Give me all books written by Danielle Steel.,47,0,0,1,1,1
110,Which country has the most official languages?,0,0,0,0,0,0
111,What is the total amount of men and women serving in the FDNY?,0,0,1,0,0,0
112,Which actor played Chewbacca?,2,0,0,1,1,1
113,Give me all libraries established earlier than 1400.,0,0,12,0,0,0
114,Which programming languages were influenced by Perl?,18,0,0,1,1,1
115,In which U.S. state is Mount McKinley located?,0,0,0,0,0,0
116,What airlines are part of the SkyTeam alliance?,54,0,0,1,1,1
117,Which ships were called after Benjamin Franklin?,4,0,0,1,1,1
118,Give me all Methodist politicians.,86,0,0,1,1,1
119,What other books have been written by the author of The Fault in Our Stars?,0,0,6,0,0,0
120,What is the highest mountain?,1,0,0,1,1,1
121,Which poet wrote the most books?,0,0,0,0,0,0
122,Which programming languages influenced Javascript?,9,0,0,1,1,1
123,Which musician wrote the most books?,0,0,0,0,0,0
124,Which films starring Clint Eastwood did he direct himself?,0,0,10,0,0,0
125,Which software has been developed by organizations founded in California?,1,289,215,0.0034482758,0.0046296297,0.0039525693
126,Which instruments does Cat Stevens play?,10,0,0,1,1,1
127,How many airlines are members of the Star Alliance?,1,0,0,1,1,1
128,Give me all actors called Baldwin.,0,0,0,0,0,0
129,Who wrote The Hunger Games?,1,0,0,1,1,1
130,For which label did Elvis record his first album?,0,0,1,0,0,0
131,Is Christian Bale starring in Batman Begins?,0,0,0,0,0,0
132,Where is the residence of the prime minister of Spain?,1,0,0,1,1,1
133,Which actor was casted in the most movies?,0,0,0,0,0,0
134,Which countries have more than two official languages?,0,0,33,0,0,0
135,Which countries have more than ten caves?,0,0,22,0,0,0
136,Show me all songs from Bruce Springsteen released between 1980 and 1990.,0,0,7,0,0,0
137,Which television shows were created by John Cleese?,7,0,0,1,1,1
138,When did Latvia join the EU?,0,0,1,0,0,0
139,Which soccer players were born on Malta?,113,0,0,1,1,1
140,How many politicians graduated from Columbia University?,1,0,0,1,1,1
141,Give me the birthdays of all actors of the television show Charmed.,0,0,10,0,0,0
142,Which telecommunications organizations are located in Belgium?,0,229,1,0,0,0
143,Give me a list of all lakes in Denmark.,0,0,8,0,0,0
144,How many children does Eddie Murphy have?,1,0,0,1,1,1
145,Show me all English Gothic buildings in Kent.,0,0,18,0,0,0
146,Who is the manager of Real Madrid?,1,0,0,1,1,1
147,In which countries can you pay using the West African CFA franc?,0,0,15,0,0,0
148,Which holidays are celebrated around the world?,2077,0,0,1,1,1
149,What is the longest river?,1,0,0,1,1,1
150,Which organizations were founded in 1930?,0,0,0,0,0,0
151,What is the birth name of Angela Merkel?,0,0,0,0,0,0
152,Who has Tom Cruise been married to?,3,0,0,1,1,1
153,Which weapons did Heckler & Koch develop?,13,0,0,1,1,1
154,What is the smallest city by area in Germany?,0,0,0,0,0,0
155,What is the ruling party in Lisbon?,1,0,0,1,1,1
156,How heavy is Jupiter's lightest moon?,1,0,0,1,1,1
157,How many employees does IBM have?,1,0,0,1,1,1
158,List all episodes of the first season of the HBO television series The Sopranos!,0,0,0,0,0,0
159,What does ICRO stand for?,0,0,1,0,0,0
160,Does the new Battlestar Galactica series have more episodes than the old one?,0,0,0,0,0,0
161,Give me all films produced by Hal Roach.,527,0,0,1,1,1
162,Who played Agent Smith in Matrix?,0,0,2,0,0,0
163,Which Greek parties are pro-European?,0,0,8,0,0,0
164,Give me a list of all bandleaders that play trumpet.,0,0,46,0,0,0
165,What is the second highest mountain on Earth?,0,0,1,0,0,0
166,Is Egypts largest city also its capital?,0,0,0,0,0,0
167,Which rockets were launched from Baikonur?,37,0,0,1,1,1
168,How many programming languages are there?,0,0,1,0,0,0
169,Which Chess players died in the same place they were born in?,0,0,66,0,0,0
170,Who is the owner of Facebook?,5,0,0,1,1,1
171,Give me all movies with Tom Cruise.,25,0,0,1,1,1
172,In which U.S. state is Fort Knox located?,0,0,1,0,0,0
173,Give me all cities in New Jersey with more than 100000 inhabitants.,0,0,4,0,0,0
174,Which mountains are higher than the Nanga Parbat?,0,0,12,0,0,0
175,Give me all B-sides of the Ramones.,0,0,11,0,0,0
176,What are the specialities of the UNC Health Care?,2,0,0,1,1,1
177,When was Olof Palme shot?,0,0,1,0,0,0
178,List the seven kings of Rome.,0,0,7,0,0,0
179,Give me all people that were born in Vienna and died in Berlin.,0,0,13,0,0,0
180,Is Darth Vader Luke’s father?,0,0,0,0,0,0
181,Show me all the breweries in Australia.,0,0,3,0,0,0
182,Give me all films produced by Steven Spielberg with a budget of at least $80 million.,0,0,0,0,0,0
183,Give me all soccer clubs in Spain.,695,0,0,1,1,1
184,Who produced films starring Natalie Portman?,0,0,36,0,0,0
185,Give me all breeds of the German Shepherd dog.,8,0,0,1,1,1
186,Who is the heaviest player of the Chicago Bulls?,0,0,1,0,0,0
187,Which languages are spoken in Estonia?,8,0,0,1,1,1
188,What is the largest country in the world?,1,0,0,1,1,1
189,What is the largest city in america?,1,0,0,1,1,1
190,Who was the pope that founded the Vatican Television?,1,0,0,1,1,1
191,Who discovered Ceres?,1,0,0,1,1,1
192,Who is the king of the Netherlands?,1,0,0,1,1,1
193,Is Cola a beverage?,0,0,0,0,0,0
194,What is the alma mater of the chancellor of Germany Angela Merkel?,0,0,1,0,0,0
195,Who wrote the book Les Piliers de la terre?,0,0,1,0,0,0
196,Which airports does Yeti Airlines serve?,3,0,0,1,1,1
197,Where is the birthplace of Goethe?,0,0,2,0,0,0
198,Was the Cuban Missile Crisis earlier than the Bay of Pigs Invasion?,0,0,0,0,0,0
199,Which ingredients do I need for carrot cake?,0,0,6,0,0,0
200,Who created Wikipedia?,2,0,0,1,1,1
201,What is the highest mountain in Saxony Germany?,1,0,0,1,1,1
202,Who is the current federal minister of finance in Germany?,1,0,0,1,1,1
203,In which country is Mecca located?,1,0,0,1,1,1
204,Who played Gus Fring in Breaking Bad?,0,0,1,0,0,0
205,In which country does the Nile start?,2,0,0,1,1,1
206,In which state Penn State University is located?,1,0,0,1,1,1
207,What is the biggest stadium in Spain?,1,0,0,1,1,1
208,Who is the coach of Ankara's ice hockey team?,0,0,1,0,0,0
209,How large is the area of UK?,0,0,2,0,0,0
210,Who created Batman?,2,0,0,1,1,1
211,Was Sigmund Freud married?,0,0,0,0,0,0
212,Who are the developers of DBpedia?,3,0,0,1,1,1
213,Give me all movies directed by Francis Ford Coppola.,28,0,0,1,1,1
214,Are tree frogs a type of amphibian?,0,0,0,0,0,0
215,What is the location of the Houses of Parliament?,0,0,2,0,0,0
216,how much is the elevation of Düsseldorf Airport ?,1,1,0,0.5,1,0.6666667
217,How much is the population of mexico city ?,1,0,0,1,1,1
218,when was the founding date of french fifth republic?,0,0,1,0,0,0
219,Who was the first King of England?,0,0,0,0,0,0
220,Who is the editor of Forbes?,1,0,0,1,1,1
221,Which awards did Douglas Hofstadter win?,3,0,0,1,1,1
222,Who is the youngest Darts player?,1,0,0,1,1,1
223,Is horse racing a sport?,0,0,0,0,0,0
224,Which river does the Brooklyn Bridge cross?,1,0,0,1,1,1
225,How many people live in Poland?,1,0,0,1,1,1
226,When was the last episode of the TV series Friends aired?,0,0,1,0,0,0
227,Is the wife of president Obama called Michelle?,0,0,0,0,0,0
229,Who is 8th president of US?,0,0,0,0,0,0
230,how much is the total population of  european union?,1,0,0,1,1,1
231,Give me all launch pads operated by NASA.,7,0,0,1,1,1
232,Who developed the video game World of Warcraft?,1,0,0,1,1,1
233,What is the birth name of Adele?,1,0,0,1,1,1
234,What is the population of Cairo?,1,0,0,1,1,1
235,Is Frank Herbert still alive?,0,0,0,0,0,0
236,What is the last work of Dan Brown?,0,0,0,0,0,0
237,Where is Sungkyunkwan University?,0,0,1,0,0,0
238,Who is the author of the interpretation of dreams?,1,0,0,1,1,1
239,When was the death  of  Shakespeare?,1,0,0,1,1,1
241,Who developed Slack?,1,0,0,1,1,1
242,Where is the origin of Carolina reaper?,1,0,0,1,1,1
243,In which year was Rachel Stevens born?,1,0,0,1,1,1
244,How often did Jane Fonda marry?,1,0,0,1,1,1
245,Was the wife of president Lincoln called Mary?,0,0,0,0,0,0
246,Which cities does the Weser flow through?,7,0,0,1,1,1
247,In which programming language is GIMP written?,2,0,0,1,1,1
248,Which university did Angela Merkel attend?,1,0,0,1,1,1
249,List all the musicals with music by Elton John.,5,0,0,1,1,1
250,How many Aldi stores are there?,0,0,1,0,0,0
251,What is the longest river in the world?,1,0,0,1,1,1
252,When was John Adams born?,1,0,0,1,1,1
253,Which companies produce hovercrafts?,3,0,0,1,1,1
254,Who was the wife of U.S. president Lincoln?,1,0,0,1,1,1
255,Which species does an elephant belong?,0,0,0,0,0,0
256,How many people live in the capital of Australia?,0,0,1,0,0,0
257,In which ancient empire could you pay with cocoa beans?,0,0,1,0,0,0
258,How many theories did Albert Einstein come up with?,1,0,0,1,1,1
259,Who composed the soundtrack for Cameron's Titanic?,1,0,0,1,1,1
260,Give me the runtime of Toy Story.,1,0,0,1,1,1
262,With how many countries Iran has borders?,0,0,8,0,0,0
263,Which electronics companies were founded in Beijing?,1,29,0,0.033333335,1,0.064516135
264,Who was the successor of John F. Kennedy?,3,0,0,1,1,1
265,Who is the mayor of Paris?,1,0,0,1,1,1
266,Did Arnold Schwarzenegger attend a university?,0,0,0,0,0,0
267,Is James Bond married?,0,0,0,0,0,0
268,Does the Isar flow into a lake?,0,0,0,0,0,0
269,Which Indian company has the most employees?,0,0,1,0,0,0
270,Who was John F. Kennedy's vice president?,1,0,0,1,1,1
271,Which country does the creator of Miffy come from?,0,0,1,0,0,0
273,In what city is the Heineken brewery?,0,0,1,0,0,0
274,Is Barack Obama a democrat?,0,0,0,0,0,0
275,List the children of Margaret Thatcher.,2,0,0,1,1,1
276,From which region is the Melon de Bourgogne?,4,0,0,1,1,1
278,how big is the total area of North Rhine- Westphalia?,1,0,0,1,1,1
279,Which city has the most inhabitants?,0,0,1,0,0,0
280,What is Donald Trump's main business?,4,0,0,1,1,1
281,When will start the final match of the football world cup 2018?,0,0,1,0,0,0
282,Which films did Stanley Kubrick direct?,16,0,0,1,1,1
283,how much is the population  Iraq?,1,0,0,1,1,1
284,How many inhabitants does the largest city in Canada have?,0,0,1,0,0,0
285,Who is the mayor of the capital of French Polynesia?,0,0,1,0,0,0
286,Give me all actors starring in movies directed by William Shatner.,18,0,0,1,1,1
287,How tall is Claudia Schiffer?,1,0,0,1,1,1
288,how much is the population densty rank of germany?,1,0,0,1,1,1
289,What is the highest mountain in Italy?,1,0,0,1,1,1
290,List all games by GMT.,8,0,0,1,1,1
291,What is the official language of Suriname?,1,0,0,1,1,1
292,In which city did Nikos Kazantzakis die?,1,0,0,1,1,1
293,What is in a chocolate chip cookie?,0,0,10,0,0,0
294,In which country is the Limerick Lake?,1,0,0,1,1,1
295,Give me all video games published by Mean Hamster Software.,2,0,0,1,1,1
296,Give me all members of Prodigy.,3,0,0,1,1,1
297,In which time zone is Rome?,1,0,0,1,1,1
298,How high is the lighthouse in Colombo?,1,0,0,1,1,1
299,Who are the writers of the Wall album of Pink Floyd?,0,0,0,0,0,0
300,Who is the mayor of Rotterdam?,1,0,0,1,1,1
301,What is the largest city in Australia?,1,0,0,1,1,1
302,Who was married to president Chirac?,1,0,0,1,1,1
303,What form of government is found in South Africa?,1,0,0,1,1,1
304,How high is the Yokohama Marine Tower?,1,0,0,1,1,1
305,Which holidays are celebrated around the world? ,0,0,2077,0,0,0
306,Who is the tallest basketball player?,1,0,0,1,1,1
307,How many languages are spoken in Turkmenistan?,1,0,0,1,1,1
308,Did Che Guevara have children?,0,0,0,0,0,0
309,Did Kaurismäki ever win the Grand Prix at Cannes?,0,0,0,0,0,0
310,To which party does the mayor of Paris belong?,0,0,1,0,0,0
311,Who is the Formula 1 race driver with the most races?,0,0,1,0,0,0
312,What country is Sitecore from?,1,0,0,1,1,1
313,Give me the birth place of Frank Sinatra.,1,0,0,1,1,1
314,Is Christian Bale starring in Velvet Goldmine?,0,0,0,0,0,0
315,Who is the son of Sonny and Cher?,1,0,0,1,1,1
316,How many ethnic groups live in Slovenia?,1,0,0,1,1,1
317,What is the capital of Cameroon?,1,0,0,1,1,1
318,Was Natalie Portman born in the United States?,0,0,0,0,0,0
319,How many pages does War and Peace have?,1,0,0,1,1,1
320,Who is the oldest child of Meryl Streep?,1,0,0,1,1,1
321,Which television shows were created by Walt Disney?,8,0,0,1,1,1
322,What does IYCM stand for?,0,0,1,0,0,0
323,Which types of grapes grow in Oregon?,82,0,0,1,1,1
324,Was U.S. president Jackson involved in a war?,0,0,0,0,0,0
325,When was the Titanic completed?,1,0,0,1,1,1
326,Did Tesla win a nobel prize in physics?,0,0,0,0,0,0
327,How many states are in Mexico?,0,0,1,0,0,0
328,Which scientist is known for the Manhattan Project and the Nobel Peace Prize?,0,0,1,0,0,0
329,How much did the Lego Movie cost?,1,0,0,1,1,1
330,Who composed the music for Harold and Maude?,1,0,0,1,1,1
331,List all episodes of the first season of the HBO television series The Sopranos.,0,0,0,0,0,0
332,Which city has the least inhabitants?,0,0,1,0,0,0
333,Where is Syngman Rhee buried?,1,0,0,1,1,1
334,Does Neymar play for Real Madrid?,0,0,0,0,0,0
335,Who wrote the book The Pillars of the Earth?,1,0,0,1,1,1
336,Do Prince Harry and Prince William have the same parents?,0,0,0,0,0,0
337,Who was the doctoral supervisor of Albert Einstein?,1,0,0,1,1,1
338,Does Breaking Bad have more episodes than Game of Thrones?,0,0,0,0,0,0
339,Who was Vincent van Gogh inspired by?,1,0,0,1,1,1
340,Which building after the Burj Khalifa has the most floors?,0,0,1,0,0,0
341,What was the final result of the War of the Roses?,1,0,0,1,1,1
342,How much did Pulp Fiction cost?,1,0,0,1,1,1
343,Is proinsulin a protein?,0,0,0,0,0,0
344,Do Urdu and Persian have a common root?,0,0,0,0,0,0
345,Who is starring in Spanish movies produced by Benicio del Toro?,1,0,0,1,1,1
346,Is Lake Baikal bigger than the Great Bear Lake?,0,0,0,0,0,0
347,Show me all books in Asimov's Foundation series.,3,0,0,1,1,1
348,Where was Bach born?,1,0,0,1,1,1
349,Which city has the oldest running metro?,0,0,1,0,0,0
350,Who designed the Brooklyn Bridge?,1,0,0,1,1,1
351,How many people live in Eurasia?,1,0,0,1,1,1
352,Who is the host of the BBC Wildlife Specials?,1,0,0,1,1,1
353,"What is the total population of Melbourne, Florida?",1,0,0,1,1,1
354,What country is Mount Everest in?,2,5,0,0.2857143,1,0.44444448
355,To which artistic movement did the painter of The Three Dancers belong?,0,0,2,0,0,0
356,When did Operation Overlord commence?,1,0,0,1,1,1
357,What is the bridge with the longest span?,0,0,1,0,0,0
358,Is there a video game called Battle Chess?,0,0,0,0,0,0
359,Who was buried in the Great Pyramid of Giza?,2,0,0,1,1,1
360,Does the Ford Motor Company have a manufacturing plant in Malaysia?,0,0,0,0,0,0
361,Did Socrates influence Aristotle?,0,0,0,0,0,0
362,How many children did Benjamin Franklin have?,1,0,0,1,1,1
363,How tall is Michael Jordan?,1,0,0,1,1,1
364,In which UK city are the headquarters of the MI6?,0,0,1,0,0,0
365,Who created Family Guy?,1,0,0,1,1,1
366,In which city does the Chile Route 68 end?,1,0,0,1,1,1
367,Give me the grandchildren of Elvis Presley.,0,0,1,0,0,0
368,When did the Ming dynasty dissolve?,1,0,0,1,1,1
369,In which military conflicts did Lawrence of Arabia participate?,0,0,6,0,0,0
370,What is the timezone in San Pedro de Atacama?,1,0,0,1,1,1
371,Give me all books by William Goldman with more than 300 pages.,0,0,10,0,0,0
372,What did Bruce Carver die from?,1,0,0,1,1,1
373,Which subsidiary of Lufthansa serves both Dortmund and Berlin Tegel?,0,0,1,0,0,0
374,Does Abraham Lincoln's death place have a website?,0,0,0,0,0,0
375,Did Elvis Presley have children?,0,0,0,0,0,0
376,Is Michelle Obama the wife of Barack Obama?,0,0,0,0,0,0
377,In which city does Sylvester Stallone live?,1,0,0,1,1,1
378,Which books by Kerouac were published by Viking Press?,3,414,0,0.007194245,1,0.014285714
379,Who wrote the song Hotel California?,3,0,0,1,1,1
380,What is the capital of Canada?,1,0,0,1,1,1
381,Who is the mayor of Tel Aviv?,1,0,0,1,1,1
382,What form of government does Russia have?,1,0,0,1,1,1
383,Show me the book that Muhammad Ali wrote.,2,0,0,1,1,1
384,Who was the first to climb Mount Everest?,4,0,0,1,1,1
385,How many languages are spoken in Colombia?,1,0,0,1,1,1
386,What is the currency of the Czech Republic?,1,0,0,1,1,1
387,Where in France is sparkling wine produced?,0,0,1,0,0,0
388,When did Boris Becker end his active career?,1,0,0,1,1,1
389,Which movies starring Mickey Rourke were directed by Guy Ritchie?,0,0,1,0,0,0
390,In which films did Julia Roberts as well as Richard Gere play?,0,0,2,0,0,0
391,Show me Hemingway's autobiography.,1,24,0,0.04,1,0.07692308
392,How tall is Amazon Eve?,1,0,0,1,1,1
393,What are the five boroughs of New York?,0,0,5,0,0,0
394,Give me all Canadian Grunge record labels.,1,0,0,1,1,1
395,In which country does the Ganges start?,1,0,0,1,1,1
396,Who is the founder of Penguin Books?,1,0,0,1,1,1
397,Who wrote the Game of Thrones theme?,1,0,0,1,1,1
398,Who is the president of Eritrea?,1,0,0,1,1,1
399,In which city did John F. Kennedy die?,1,0,0,1,1,1
400,What is the highest mountain in Australia?,1,0,0,1,1,1
401,Who writes the Farmers' Almanac?,0,0,0,0,0,0
402,Give me the currency of China.,1,0,0,1,1,1
403,Give me all Swedish oceanographers.,1,0,0,1,1,1
404,In which city are the headquarters of the United Nations?,1,0,0,1,1,1
405,Is Rita Wilson the wife of Tom Hanks?,0,0,0,0,0,0
406,In which countries do people speak Japanese?,5,0,0,1,1,1
407,Which of Tim Burton's films had the highest budget?,0,0,1,0,0,0
408,Which museum in New York has the most visitors?,0,0,1,0,0,0
409,What was the first Queen album?,0,0,1,0,0,0
410,What was the first name of the band Queens of the Stone Age?,1,0,0,1,1,1
411,What was the last movie with Alec Guinness?,1,0,0,1,1,1
412,Give me all actors starring in Last Action Hero.,10,0,0,1,1,1
413,Who discovered Pluto?,1,0,0,1,1,1
,,9534,1196,3317,0.8885368,0.7418878,0.8086171
,,,,,0.55137396,0.56382436,0.55108845
