LemonEntry,partOfSpeech,writtenFormInfinitive,writtenForm3rdPresent,writtenFormPast,writtenFormPerfect,SyntacticFrame,subject,directObject,sense,reference,domain,range,passivePreposition
erhalten,verb,erhalten,,,,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/operator,http://dbpedia.org/ontology/Company,http://dbpedia.org/ontology/LaunchPad,von
planen,verb,planen,plant,plante,geplant,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/operator,http://dbpedia.org/ontology/Company,http://dbpedia.org/ontology/LaunchPad,von
teilen,verb,teilen,teilt,teilte,geteilt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/operator,http://dbpedia.org/ontology/Company,http://dbpedia.org/ontology/LaunchPad,von
vorsehen,verb,vorsehen,vorsieht,vorsah,vorgesehen,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/operator,http://dbpedia.org/ontology/Company,http://dbpedia.org/ontology/LaunchPad,von
errichten,verb,errichten,errichtet,errichtete,errichtet,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/operator,http://dbpedia.org/ontology/Company,http://dbpedia.org/ontology/LaunchPad,von
beheimatet,verb,beheimatet,,,,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/operator,http://dbpedia.org/ontology/Company,http://dbpedia.org/ontology/LaunchPad,von
messen,verb,messen,misst,maß,gemessen,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/operator,http://dbpedia.org/ontology/Company,http://dbpedia.org/ontology/LaunchPad,von
fertigen,verb,fertigen,fertigt,fertigte,gefertigt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/operator,http://dbpedia.org/ontology/Company,http://dbpedia.org/ontology/LaunchPad,von
fliegen,verb,fliegen,fliegt,flog,geflogen,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/operator,http://dbpedia.org/ontology/Company,http://dbpedia.org/ontology/LaunchPad,von
verwechseln,verb,verwechseln,verwechselt,verwechselte,verwechselt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/operator,http://dbpedia.org/ontology/Company,http://dbpedia.org/ontology/LaunchPad,von
verbinden,verb,verbinden,verbindet,verband,verbunden,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/operator,http://dbpedia.org/ontology/Company,http://dbpedia.org/ontology/LaunchPad,von
bilden,verb,bilden,bildet,bildete,gebildet,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/operator,http://dbpedia.org/ontology/Company,http://dbpedia.org/ontology/LaunchPad,von
fertigstellen,verb,fertigstellen,fertigstellt,fertigstellte,fertiggestellt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/operator,http://dbpedia.org/ontology/Company,http://dbpedia.org/ontology/LaunchPad,von
abfertigen,verb,abfertigen,abfertigt,abfertigte,abgefertigt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/operator,http://dbpedia.org/ontology/Company,http://dbpedia.org/ontology/LaunchPad,von
lauten,verb,lauten,lautet,lautete,gelautet,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/operator,http://dbpedia.org/ontology/Company,http://dbpedia.org/ontology/LaunchPad,von
entsprechen,verb,entsprechen,entspricht,entsprach,entsprochen,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/operator,http://dbpedia.org/ontology/Company,http://dbpedia.org/ontology/LaunchPad,von
zählen,verb,zählen,zählt,zählte,gezählt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/operator,http://dbpedia.org/ontology/Company,http://dbpedia.org/ontology/LaunchPad,von
einstellen,verb,einstellen,einstellt,einstellte,eingestellt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/operator,http://dbpedia.org/ontology/Company,http://dbpedia.org/ontology/LaunchPad,von
ausbauen,verb,ausbauen,ausbaut,ausbaute,ausgebaut,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/operator,http://dbpedia.org/ontology/Company,http://dbpedia.org/ontology/LaunchPad,von
ausstatten,verb,ausstatten,ausstattet,ausstattete,ausgestattet,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/operator,http://dbpedia.org/ontology/Company,http://dbpedia.org/ontology/LaunchPad,von
betragen,verb,betragen,beträgt,betrug,betragen,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/operator,http://dbpedia.org/ontology/Company,http://dbpedia.org/ontology/LaunchPad,von
verwenden,verb,verwenden,verwendet,verwandte,verwandt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/operator,http://dbpedia.org/ontology/Company,http://dbpedia.org/ontology/LaunchPad,von
anlegen,verb,anlegen,anlegt,anlegte,angelegt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/operator,http://dbpedia.org/ontology/Company,http://dbpedia.org/ontology/LaunchPad,von
finden,verb,finden,findet,fand,gefunden,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/operator,http://dbpedia.org/ontology/Company,http://dbpedia.org/ontology/LaunchPad,von
verwalten,verb,verwalten,verwaltet,verwaltete,verwaltet,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/operator,http://dbpedia.org/ontology/Company,http://dbpedia.org/ontology/LaunchPad,von
handeln,verb,handeln,handelt,handelte,gehandelt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/operator,http://dbpedia.org/ontology/Company,http://dbpedia.org/ontology/LaunchPad,von
zulassen,verb,zulassen,zulässt,zuließ,zugelassen,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/operator,http://dbpedia.org/ontology/Company,http://dbpedia.org/ontology/LaunchPad,von
öffnen,verb,öffnen,öffnet,öffnete,geöffnet,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/operator,http://dbpedia.org/ontology/Company,http://dbpedia.org/ontology/LaunchPad,von
verkaufen,verb,verkaufen,verkauft,verkaufte,verkauft,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/author,http://dbpedia.org/ontology/Book,http://dbpedia.org/ontology/Person,von
gründen,verb,gründen,gründet,gründete,gegründet,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/musicComposer,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person,von
hören,verb,hören,hört,hörte,gehört,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/musicComposer,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person,von
verkaufen,verb,verkaufen,verkauft,verkaufte,verkauft,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/musicComposer,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person,von
vertreten,verb,vertreten,vertritt,vertrat,vertreten,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/musicComposer,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person,von
bestehen,verb,bestehen,besteht,bestand,bestanden,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/musicComposer,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person,von
bezeichnen,verb,bezeichnen,bezeichnet,bezeichnete,bezeichnet,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/musicComposer,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person,von
leiten,verb,leiten,leitet,leitete,geleitet,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/musicComposer,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person,von
prägen,verb,prägen,prägt,prägte,geprägt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/musicComposer,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person,von
bestehen,verb,bestehen,besteht,bestand,bestanden,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/author,http://dbpedia.org/ontology/Book,http://dbpedia.org/ontology/Person,von
gründen,verb,gründen,gründet,gründete,gegründet,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/author,http://dbpedia.org/ontology/Book,http://dbpedia.org/ontology/Person,von
veröffentlichen,verb,veröffentlichen,veröffentlicht,veröffentlichte,veröffentlicht,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/musicComposer,http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Person,von
gründen,verb,gründen,gründet,gründete,gegründet,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/founder,http://dbpedia.org/ontology/Publisher,http://dbpedia.org/ontology/Person,von
bestehen,verb,bestehen,besteht,bestand,bestanden,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/founder,http://dbpedia.org/ontology/Publisher,http://dbpedia.org/ontology/Person,von
veröffentlichen,verb,veröffentlichen,veröffentlicht,veröffentlichte,veröffentlicht,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/founder,http://dbpedia.org/ontology/Publisher,http://dbpedia.org/ontology/Person,von
lösen,verb,lösen,löst,löste,gelöst,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/founder,http://dbpedia.org/ontology/Publisher,http://dbpedia.org/ontology/Person,von
bezeichnen,verb,bezeichnen,bezeichnet,bezeichnete,bezeichnet,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/founder,http://dbpedia.org/ontology/Publisher,http://dbpedia.org/ontology/Person,von
zählen,verb,zählen,zählt,zählte,gezählt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/founder,http://dbpedia.org/ontology/Publisher,http://dbpedia.org/ontology/Person,von
existieren,verb,existieren,existiert,existierte,existiert,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/founder,http://dbpedia.org/ontology/Publisher,http://dbpedia.org/ontology/Person,von
hören,verb,hören,hört,hörte,gehört,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/founder,http://dbpedia.org/ontology/Publisher,http://dbpedia.org/ontology/Person,von
stammen,verb,stammen,stammt,stammte,gestammt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/founder,http://dbpedia.org/ontology/Publisher,http://dbpedia.org/ontology/Person,von
feiern,verb,feiern,feiert,feierte,gefeiert,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/founder,http://dbpedia.org/ontology/Publisher,http://dbpedia.org/ontology/Person,von
erscheinen,verb,erscheinen,erscheint,erschien,erschienen,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/founder,http://dbpedia.org/ontology/Publisher,http://dbpedia.org/ontology/Person,von
hervorgehen,verb,hervorgehen,hervorgeht,hervorging,hervorgegangen,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/founder,http://dbpedia.org/ontology/Publisher,http://dbpedia.org/ontology/Person,von
gehören,verb,gehören,gehört,gehörte,gehört,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/founder,http://dbpedia.org/ontology/Publisher,http://dbpedia.org/ontology/Person,von
erreichen,verb,erreichen,erreicht,erreichte,erreicht,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/founder,http://dbpedia.org/ontology/Publisher,http://dbpedia.org/ontology/Person,von
prägen,verb,prägen,prägt,prägte,geprägt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/founder,http://dbpedia.org/ontology/Publisher,http://dbpedia.org/ontology/Person,von
orientieren,verb,orientieren,orientiert,orientierte,orientiert,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/founder,http://dbpedia.org/ontology/Publisher,http://dbpedia.org/ontology/Person,von
verbinden,verb,verbinden,verbindet,verband,verbunden,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/founder,http://dbpedia.org/ontology/Publisher,http://dbpedia.org/ontology/Person,von
benennen,verb,benennen,benennt,benannte,benannt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/founder,http://dbpedia.org/ontology/Publisher,http://dbpedia.org/ontology/Person,von
verkaufen,verb,verkaufen,verkauft,verkaufte,verkauft,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/founder,http://dbpedia.org/ontology/Publisher,http://dbpedia.org/ontology/Person,von
leiten,verb,leiten,leitet,leitete,geleitet,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/founder,http://dbpedia.org/ontology/Publisher,http://dbpedia.org/ontology/Person,von
schreiben,verb,schreiben,schreibt,schrieb,geschrieben,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/founder,http://dbpedia.org/ontology/Publisher,http://dbpedia.org/ontology/Person,von
bleiben,verb,bleiben,bleibt,blieb,geblieben,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/founder,http://dbpedia.org/ontology/Publisher,http://dbpedia.org/ontology/Person,von
bedeuten,verb,bedeuten,bedeutet,bedeutete,bedeutet,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/founder,http://dbpedia.org/ontology/Publisher,http://dbpedia.org/ontology/Person,von
aufnehmen,verb,aufnehmen,aufnimmt,aufnahm,aufgenommen,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/founder,http://dbpedia.org/ontology/Publisher,http://dbpedia.org/ontology/Person,von
auflösen,verb,auflösen,auflöst,auflöste,aufgelöst,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/founder,http://dbpedia.org/ontology/Publisher,http://dbpedia.org/ontology/Person,von
beziehen,verb,beziehen,bezieht,bezog,bezogen,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/founder,http://dbpedia.org/ontology/Publisher,http://dbpedia.org/ontology/Person,von
verwenden,verb,verwenden,verwendet,verwandte,verwandt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/founder,http://dbpedia.org/ontology/Publisher,http://dbpedia.org/ontology/Person,von
produzieren,verb,produzieren,produziert,produzierte,produziert,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/founder,http://dbpedia.org/ontology/Publisher,http://dbpedia.org/ontology/Person,von
beschreiben,verb,beschreiben,beschreibt,beschrieb,beschrieben,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/founder,http://dbpedia.org/ontology/Publisher,http://dbpedia.org/ontology/Person,von
bekennen,verb,bekennen,bekennt,bekannte,bekannt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/founder,http://dbpedia.org/ontology/Publisher,http://dbpedia.org/ontology/Person,von
formierte,verb,formierte,,,,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/founder,http://dbpedia.org/ontology/Publisher,http://dbpedia.org/ontology/Person,von
verlassen,verb,verlassen,,,,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/founder,http://dbpedia.org/ontology/Publisher,http://dbpedia.org/ontology/Person,von
singen,verb,singen,singt,sang,gesungen,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/founder,http://dbpedia.org/ontology/Publisher,http://dbpedia.org/ontology/Person,von
rufen,verb,rufen,ruft,rief,gerufen,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/founder,http://dbpedia.org/ontology/Publisher,http://dbpedia.org/ontology/Person,von
finden,verb,finden,findet,fand,gefunden,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/founder,http://dbpedia.org/ontology/Publisher,http://dbpedia.org/ontology/Person,von
führen,verb,führen,,,,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/founder,http://dbpedia.org/ontology/Publisher,http://dbpedia.org/ontology/Person,von
vertreten,verb,vertreten,vertritt,vertrat,vertreten,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/founder,http://dbpedia.org/ontology/Publisher,http://dbpedia.org/ontology/Person,von
erfolgen,verb,erfolgen,erfolgt,erfolgte,erfolgt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/founder,http://dbpedia.org/ontology/Publisher,http://dbpedia.org/ontology/Person,von
beheimatet,verb,beheimatet,,,,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/founder,http://dbpedia.org/ontology/Publisher,http://dbpedia.org/ontology/Person,von
bringen,verb,bringen,bringt,brachte,gebracht,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/founder,http://dbpedia.org/ontology/Publisher,http://dbpedia.org/ontology/Person,von
beteiligen,verb,beteiligen,beteiligt,beteiligte,beteiligt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/founder,http://dbpedia.org/ontology/Publisher,http://dbpedia.org/ontology/Person,von
erhalten,verb,erhalten,,,,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/founder,http://dbpedia.org/ontology/Publisher,http://dbpedia.org/ontology/Person,von
genießen,verb,genießen,genießt,genoss,genossen,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/founder,http://dbpedia.org/ontology/Publisher,http://dbpedia.org/ontology/Person,von
ableiten,verb,ableiten,ableitet,ableitete,abgeleitet,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/founder,http://dbpedia.org/ontology/Publisher,http://dbpedia.org/ontology/Person,von
machen,verb,machen,macht,machte,gemacht,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/founder,http://dbpedia.org/ontology/Publisher,http://dbpedia.org/ontology/Person,von
auftreten,verb,auftreten,auftritt,auftrat,aufgetreten,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/founder,http://dbpedia.org/ontology/Publisher,http://dbpedia.org/ontology/Person,von
übernehmen,verb,übernehmen,übernimmt,übernahm,übernommen,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/founder,http://dbpedia.org/ontology/Publisher,http://dbpedia.org/ontology/Person,von
bewegen,verb,bewegen,bewegt,bewegte,bewegt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/founder,http://dbpedia.org/ontology/Publisher,http://dbpedia.org/ontology/Person,von
kündigen,verb,kündigen,kündigt,kündigte,gekündigt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/founder,http://dbpedia.org/ontology/Publisher,http://dbpedia.org/ontology/Person,von
rechnen,verb,rechnen,rechnet,rechnete,gerechnet,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/founder,http://dbpedia.org/ontology/Publisher,http://dbpedia.org/ontology/Person,von
nennen,verb,nennen,nennt,nannte,genannt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/founder,http://dbpedia.org/ontology/Publisher,http://dbpedia.org/ontology/Person,von
ändern,verb,ändern,ändert,änderte,geändert,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/founder,http://dbpedia.org/ontology/Publisher,http://dbpedia.org/ontology/Person,von
tragen,verb,tragen,trägt,trug,getragen,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/founder,http://dbpedia.org/ontology/Publisher,http://dbpedia.org/ontology/Person,von
vereinen,verb,vereinen,vereint,vereinte,vereint,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/founder,http://dbpedia.org/ontology/Publisher,http://dbpedia.org/ontology/Person,von
handeln,verb,handeln,handelt,handelte,gehandelt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/founder,http://dbpedia.org/ontology/Publisher,http://dbpedia.org/ontology/Person,von
vergleichen,verb,vergleichen,vergleicht,verglich,verglichen,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/founder,http://dbpedia.org/ontology/Publisher,http://dbpedia.org/ontology/Person,von
schaffen,verb,schaffen,schafft,schaffte,geschafft,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/founder,http://dbpedia.org/ontology/Publisher,http://dbpedia.org/ontology/Person,von
befinden,verb,befinden,befindet,befand,befunden,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/founder,http://dbpedia.org/ontology/Publisher,http://dbpedia.org/ontology/Person,von
beschäftigen,verb,beschäftigen,beschäftigt,beschäftigte,beschäftigt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/founder,http://dbpedia.org/ontology/Publisher,http://dbpedia.org/ontology/Person,von
zeichnen,verb,zeichnen,zeichnet,zeichnete,gezeichnet,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/founder,http://dbpedia.org/ontology/Publisher,http://dbpedia.org/ontology/Person,von
verwechseln,verb,verwechseln,verwechselt,verwechselte,verwechselt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/founder,http://dbpedia.org/ontology/Publisher,http://dbpedia.org/ontology/Person,von
begleiten,verb,begleiten,begleitet,begleitete,begleitet,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/founder,http://dbpedia.org/ontology/Publisher,http://dbpedia.org/ontology/Person,von
verschreiben,verb,verschreiben,verschreibt,verschrieb,verschrieben,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/founder,http://dbpedia.org/ontology/Publisher,http://dbpedia.org/ontology/Person,von
entwickeln,verb,entwickeln,entwickelt,entwickelte,entwickelt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/founder,http://dbpedia.org/ontology/Publisher,http://dbpedia.org/ontology/Person,von
vermischen,verb,vermischen,vermischt,vermischte,vermischt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/founder,http://dbpedia.org/ontology/Publisher,http://dbpedia.org/ontology/Person,von
verarbeiten,verb,verarbeiten,verarbeitet,verarbeitete,verarbeitet,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/founder,http://dbpedia.org/ontology/Publisher,http://dbpedia.org/ontology/Person,von
bilden,verb,bilden,bildet,bildete,gebildet,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/founder,http://dbpedia.org/ontology/Publisher,http://dbpedia.org/ontology/Person,von
unterstützen,verb,unterstützen,unterstützt,unterstützte,unterstützt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/founder,http://dbpedia.org/ontology/Publisher,http://dbpedia.org/ontology/Person,von
folgen,verb,folgen,folgt,folgte,gefolgt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/founder,http://dbpedia.org/ontology/Publisher,http://dbpedia.org/ontology/Person,von
trennen,verb,trennen,trennt,trennte,getrennt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/founder,http://dbpedia.org/ontology/Publisher,http://dbpedia.org/ontology/Person,von
ansiedeln,verb,ansiedeln,ansiedelt,ansiedelte,angesiedelt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/founder,http://dbpedia.org/ontology/Publisher,http://dbpedia.org/ontology/Person,von
erleben,verb,erleben,erlebt,erlebte,erlebt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/founder,http://dbpedia.org/ontology/Publisher,http://dbpedia.org/ontology/Person,von
wandeln,verb,wandeln,wandelt,wandelte,gewandelt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/founder,http://dbpedia.org/ontology/Publisher,http://dbpedia.org/ontology/Person,von
setzen,verb,setzen,setzt,setzte,gesetzt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/founder,http://dbpedia.org/ontology/Publisher,http://dbpedia.org/ontology/Person,von
basieren,verb,basieren,basiert,basierte,basiert,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/founder,http://dbpedia.org/ontology/Publisher,http://dbpedia.org/ontology/Person,von
beheimatete,verb,beheimatete,,,,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/founder,http://dbpedia.org/ontology/Publisher,http://dbpedia.org/ontology/Person,von
wechseln,verb,wechseln,wechselt,wechselte,gewechselt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/founder,http://dbpedia.org/ontology/Publisher,http://dbpedia.org/ontology/Person,von
bedienen,verb,bedienen,bedient,bediente,bedient,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/founder,http://dbpedia.org/ontology/Publisher,http://dbpedia.org/ontology/Person,von
