LemonEntry,partOfSpeech,writtenForm,SyntacticFrame,copulativeSubject,attributiveArg,sense,reference,owl:onProperty,owl:hasValue,domain,range,question (attributive use),sparql1,question2 (predicative use),sparql2
Argentine_11,adjective,Argentine,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Argentina,dbo:Film,dbo:Film,"Give me Argentine (dbo:country res:Argentina)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:country res:Argentina. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Argentine (dbo:country res:Argentina)?",
Argentine_12,adjective,Argentine,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Argentina,dbo:Film,dbo:Film,"Give me Argentine (dbo:nationality res:Argentina)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:nationality res:Argentina. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Argentine (dbo:nationality res:Argentina)?",
an-Argentine_13,adjective,an Argentine,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Argentinian,dbo:Film,dbo:Film,"Give me an Argentine (dbo:country res:Argentinian)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:country res:Argentinian. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is an Argentine (dbo:country res:Argentinian)?",
an-Argentine_14,adjective,an Argentine,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Argentinian,dbo:Film,dbo:Film,"Give me an Argentine (dbo:nationality res:Argentinian)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:nationality res:Argentinian. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is an Argentine (dbo:nationality res:Argentinian)?",
Australian_15,adjective,Australian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Australia,dbo:Film,dbo:Film,"Give me Australian (dbo:country res:Australia)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:country res:Australia. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Australian (dbo:country res:Australia)?",
Australian_16,adjective,Australian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Australia,dbo:Film,dbo:Film,"Give me Australian (dbo:nationality res:Australia)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:nationality res:Australia. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Australian (dbo:nationality res:Australia)?",
Austrian_17,adjective,Austrian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Austria,dbo:Film,dbo:Film,"Give me Austrian (dbo:country res:Austria)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:country res:Austria. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Austrian (dbo:country res:Austria)?",
Austrian_18,adjective,Austrian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Austria,dbo:Film,dbo:Film,"Give me Austrian (dbo:nationality res:Austria)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:nationality res:Austria. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Austrian (dbo:nationality res:Austria)?",
Bangladeshi_19,adjective,Bangladeshi,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Bangladesh,dbo:Film,dbo:Film,"Give me Bangladeshi (dbo:country res:Bangladesh)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:country res:Bangladesh. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Bangladeshi (dbo:country res:Bangladesh)?",
Bangladeshi_20,adjective,Bangladeshi,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Bangladesh,dbo:Film,dbo:Film,"Give me Bangladeshi (dbo:nationality res:Bangladesh)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:nationality res:Bangladesh. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Bangladeshi (dbo:nationality res:Bangladesh)?",
Belgian_21,adjective,Belgian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Belgium,dbo:Film,dbo:Film,"Give me Belgian (dbo:country res:Belgium)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:country res:Belgium. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Belgian (dbo:country res:Belgium)?",
Belgian_22,adjective,Belgian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Belgium,dbo:Film,dbo:Film,"Give me Belgian (dbo:nationality res:Belgium)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:nationality res:Belgium. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Belgian (dbo:nationality res:Belgium)?",
Bolivian_23,adjective,Bolivian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Bolivia,dbo:Film,dbo:Film,"Give me Bolivian (dbo:country res:Bolivia)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:country res:Bolivia. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Bolivian (dbo:country res:Bolivia)?",
Bolivian_24,adjective,Bolivian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Bolivia,dbo:Film,dbo:Film,"Give me Bolivian (dbo:nationality res:Bolivia)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:nationality res:Bolivia. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Bolivian (dbo:nationality res:Bolivia)?",
Batswana_25,adjective,Batswana,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Botswana,dbo:Film,dbo:Film,"Give me Batswana (dbo:country res:Botswana)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:country res:Botswana. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Batswana (dbo:country res:Botswana)?",
Batswana_26,adjective,Batswana,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Botswana,dbo:Film,dbo:Film,"Give me Batswana (dbo:nationality res:Botswana)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:nationality res:Botswana. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Batswana (dbo:nationality res:Botswana)?",
Brazilian_27,adjective,Brazilian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Brazil,dbo:Film,dbo:Film,"Give me Brazilian (dbo:country res:Brazil)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:country res:Brazil. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Brazilian (dbo:country res:Brazil)?",
Brazilian_28,adjective,Brazilian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Brazil,dbo:Film,dbo:Film,"Give me Brazilian (dbo:nationality res:Brazil)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:nationality res:Brazil. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Brazilian (dbo:nationality res:Brazil)?",
Bulgarian_29,adjective,Bulgarian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Bulgaria,dbo:Film,dbo:Film,"Give me Bulgarian (dbo:country res:Bulgaria)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:country res:Bulgaria. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Bulgarian (dbo:country res:Bulgaria)?",
Bulgarian_30,adjective,Bulgarian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Bulgaria,dbo:Film,dbo:Film,"Give me Bulgarian (dbo:nationality res:Bulgaria)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:nationality res:Bulgaria. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Bulgarian (dbo:nationality res:Bulgaria)?",
Cambodian_31,adjective,Cambodian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Cambodia,dbo:Film,dbo:Film,"Give me Cambodian (dbo:country res:Cambodia)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:country res:Cambodia. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Cambodian (dbo:country res:Cambodia)?",
Cambodian_32,adjective,Cambodian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Cambodia,dbo:Film,dbo:Film,"Give me Cambodian (dbo:nationality res:Cambodia)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:nationality res:Cambodia. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Cambodian (dbo:nationality res:Cambodia)?",
Cameroonian_33,adjective,Cameroonian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Cameroon,dbo:Film,dbo:Film,"Give me Cameroonian (dbo:country res:Cameroon)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:country res:Cameroon. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Cameroonian (dbo:country res:Cameroon)?",
Cameroonian_34,adjective,Cameroonian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Cameroon,dbo:Film,dbo:Film,"Give me Cameroonian (dbo:nationality res:Cameroon)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:nationality res:Cameroon. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Cameroonian (dbo:nationality res:Cameroon)?",
Canadian_35,adjective,Canadian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Canada,dbo:Film,dbo:Film,"Give me Canadian (dbo:country res:Canada)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:country res:Canada. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Canadian (dbo:country res:Canada)?",
Canadian_36,adjective,Canadian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Canada,dbo:Film,dbo:Film,"Give me Canadian (dbo:nationality res:Canada)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:nationality res:Canada. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Canadian (dbo:nationality res:Canada)?",
Chilean_37,adjective,Chilean,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Chile,dbo:Film,dbo:Film,"Give me Chilean (dbo:country res:Chile)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:country res:Chile. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Chilean (dbo:country res:Chile)?",
Chilean_38,adjective,Chilean,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Chile,dbo:Film,dbo:Film,"Give me Chilean (dbo:nationality res:Chile)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:nationality res:Chile. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Chilean (dbo:nationality res:Chile)?",
Chinese_39,adjective,Chinese,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:China,dbo:Film,dbo:Film,"Give me Chinese (dbo:country res:China)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:country res:China. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Chinese (dbo:country res:China)?",
Chinese_40,adjective,Chinese,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:China,dbo:Film,dbo:Film,"Give me Chinese (dbo:nationality res:China)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:nationality res:China. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Chinese (dbo:nationality res:China)?",
Colombian_41,adjective,Colombian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Colombia,dbo:Film,dbo:Film,"Give me Colombian (dbo:country res:Colombia)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:country res:Colombia. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Colombian (dbo:country res:Colombia)?",
Colombian_42,adjective,Colombian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Colombia,dbo:Film,dbo:Film,"Give me Colombian (dbo:nationality res:Colombia)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:nationality res:Colombia. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Colombian (dbo:nationality res:Colombia)?",
Costa-Rican_43,adjective,Costa Rican,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Costa_Rica,dbo:Film,dbo:Film,"Give me Costa Rican (dbo:country res:Costa_Rica)(dbo:Film,X).",SELECT ?isA WHERE { ?isA dbo:country res:Costa_Rica. ?isA dbo:Film},"which (dbo:Film,X)  (dbo:Film ) is Costa Rican (dbo:country res:Costa_Rica)?",
