lemon,partOfSpeech,writtenForm (singular),writtenForm (plural),preposition,SyntacticFrame,copulativeArg,prepositionalAdjunct,sense,reference,domain,range,QALD
voice_of,noun,voice,voices,of,NounPPFrame,range,domain,1,dbp:voiceactor,dbo:Person,dbo:Person,Qald9-test
gangster_from,noun,gangster,gangsters,from,NounPPFrame,range,domain,1,dbo:occupation,dbo:Person,xsd:string,Qald9-test
taikonauts_of,noun,taikonaut,taikonauts,of,NounPPFrame,range,domain,1,dbo:nationality,dbo:Person,dbo:Country,Qald9-test
volcano_of,noun,volcano,volcanoes,of,NounPPFrame,range,domain,1,dbo:locatedInArea,dbo:Mountain,dbo:Country,Qald9-test
movies_with,noun,movie,movies,with,NounPPFrame,range,domain,1,dbo:starring,dbo:Film,dbo:Person,Qald9-test
creator_of,noun,creator,creators,of,NounPPFrame,range,domain,1,dbo:creator,dbo:Company,dbo:Organisation,Qald9-test
office_holder_of,noun,office holder,office holders,of,NounPPFrame,range,domain,1,dbp:incumbent,dbo:Person,dbo:Person,Qald9-test
industry_of,noun,industry,industries,of,NounPPFrame,range,domain,1,dbo:industry,dbo:Agent,dbo:Food,Qald9-test
parent_of,noun,parent,parents,of,NounPPFrame,range,domain,1,dbo:parent,dbo:Person,dbo:Person,Qald9-test
father_of,noun,father,fathers,of,NounPPFrame,range,domain,1,dbo:parent,dbo:Person,dbo:Person,Qald9-test
daughter_of,noun,daughter,daughters,of,NounPPFrame,range,domain,1,dbo:spouse,dbo:Person,dbo:Person,Qald9-test
mission_of,noun,mission,missions,of,NounPPFrame,range,domain,1,dbp:crewMembers,dbo:Event,dbo:Person,Qald9-test
wavelength_of,noun,wavelength,wavelengths,of,NounPPFrame,range,domain,1,dbo:wavelength,dbo:Colour,xsd:double,Qald9-test
B-sides_of,noun,B-side,B-sides,of,NounPPFrame,range,domain,1,dbo:bSide,dbo:MusicalWork,dbo:CreativeWork,Qald9-test
emperors_of,noun,emperor,emperors,of,NounPPFrame,range,domain,1,dbp:title,dbo:Work,dbo:Person,Qald9-test
name_of,noun,name,names,of,NounPPFrame,range,domain,1,foaf:givenName,dbo:Person,xsd:string,Qald9-test
name_of_the_university,noun,name of the university,names of the university,of,NounPPFrame,range,domain,1,dbo:almaMater,dbo:Person,dbo:EducationalInstitution,Qald9-test
headquarter_of,noun,headquarter,headquarters,of,NounPPFrame,range,domain,1,dbo:headquarter,dbo:Organisation,dbo:PopulatedPlace,Qald9-test
founding_year_of,noun,founding year,founding years,of,NounPPFrame,range,domain,1,dbo:foundingYear,dbo:Organisation,xsd:gYear,Qald9-test
abbreviation_of,noun,abbreviation,abbreviations,of,NounPPFrame,range,domain,1,dbp:postalabbreviation,dbo:Country,xsd:langString,Qald9-test
atmosphere_of,noun,atmosphere,atmospheres,of,NounPPFrame,range,domain,1,dbp:atmosphereComposition,dbo:Place,dbo:MilitaryUnit,Qald9-test
famous_battle_in,noun,famous battle,famous battles,in,NounPPFrame,range,domain,1,dbo:place,dbo:Place,dbo:Place,Qald9-test
official_website_of,noun,official website,official websites,of,NounPPFrame,range,domain,1,foaf:homepage,dbo:Agent,xsd:string,Qald9-test
actor_of,noun,actor,actors,of,NounPPFrame,range,domain,1,dbo:starring,dbo:Work,dbo:Person,Qald9-test
calories_of,noun,caloriy,calories,of,NounPPFrame,range,domain,1,dbp:calories,dbo:Food,xsd:integer,Qald9-test
president_after,noun,president,presidents,after,NounPPFrame,range,domain,1,dbp:presidentEnd,dbo:Person,dbo:Person,Qald9-test
novelist_of,noun,novelist,novelists,of,NounPPFrame,range,domain,1,dbp:author,dbo:Book,dbo:Person,Qald9-test
record_of,noun,record,records,of,NounPPFrame,range,domain,1,dbo:releaseDate,dbo:Work,xsd:date,Qald9-test
capital_of,noun,capital,capitals,of,NounPPFrame,range,domain,1,dbo:capital,dbo:Country,dbo:City,Qald9-test
same_type_as,noun,same type,-,as,NounPPFrame,range,domain,1,rdf:type,dbo:Country,dbo:Holiday,Qald9-test
founded_by,noun,founded,founded,by,NounPPFrame,range,domain,1,dbo:foundedBy,dbo:BroadcastNetwork,dbo:Company,Qald9-test
founder_of,noun,founder,founders,by,NounPPFrame,range,domain,1,dbo:foundedBy,dbo:BroadcastNetwork,dbo:Company,Qald9-test
danger_of,noun,danger,dangers,of,NounPPFrame,range,domain,1,dbp:hazards,dbo:Place,dbo:Disease,Qald9-test
pages_of,noun,page,pages,of,NounPPFrame,range,domain,1,dbo:numberOfPages,dbo:Company,xsd:positiveInteger,Qald9-test
websites_of,noun,website,websites,with,NounPPFrame,range,domain,1,foaf:homepage,dbo:Person,xsd:string,Qald9-test
companies_with,noun,company,companies,with,NounPPFrame,range,domain,1,dbo:numberOfEmployees,dbo:Company,xsd:positiveInteger,Qald9-test
active_player_of,noun,active player,active players,of,NounPPFrame,domain,range,1,dbo:activeYearsEndYear,dbo:BasketballPlayer,xsd:date,Qald9-test
battle_in,noun,battle,battles,in,NounPPFrame,domain,range,1,dbo:date,dbo:MilitaryConflict,xsd:date,Qald9-test
calory_of,noun,calory,calories,of,NounPPFrame,domain,range,1,dbp:calories,dbo:Food,xsd:integer,Qald9-test
office_in,noun,office,offices,in,NounPPFrame,domain,range,1,dbo:commander,dbo:Event,dbo:Person,Qald9-test
gold_medal_of,noun,gold medal,gold medals,of,NounPPFrame,range,domain,1,dbo:goldMedalist,dbo:Event,dbo:Person,Qald9-test
frequent_flyer_program_of,noun,frequent flyer program,frequent flyer programs,of,NounPPFrame,range,domain,1,dbp:frequentFlyer,dbo:Airline,dbo:Company,Qald9-test
studio_in,noun,studio,studios,in,NounPPFrame,range,domain,1,dbp:studio,dbo:Film,dbo:Agent,Qald9-test
player_in,noun,player,players,in,NounPPFrame,range,domain,1,dbo:team,dbo:Person,dbo:Agent,Qald9-test
Premier_League_of,noun,Premier League,Premier Leagues,of,NounPPFrame,range,domain,1,dbo:league,dbo:Person,dbo:Agent,Qald9-test
hiking_trail_in ,noun,hiking trail,hiking trails,in,NounPPFrame,range,domain,1,dbp:trailheads,dbo:Place,dbo:Place,Qald9-test
largestCity_of,noun,largest city,-,of,NounPPFrame,range,domain,1,dbo:largestCity,dbo:Country,dbo:City,Qald9-test
famous_battle_in_2,noun,famous battle,famous battles,in,NounPPFrame,range,domain,1,dbo:date,dbo:Place,xsd:date,Qald9-test
chancellor_of,noun,chancellor,chancellors,of,NounPPFrame,range,domain,1,dbp:incumbent,dbo:Person,dbo:Person,Qald9-test
